question,previewContents
ㅁㅁ환경적 요인에는 무엇이 있을 까요?(중1 사회),ㅁㅁ환경적 요인에는 무엇이 있을까요?
(내공200) 아시아나 마일리지로 스타얼라이언스 (LOT항공) 이용할수잇나요,19만 마일리지가있는데 아시아나마일리지로는 폴란드직항이 없더라구요 돈내고타는건 직항있는데.. 아시아나 마일리지로 LOT항공 이용해서 바르샤바갈수있나요? 아님다른방법이있을까요 상세답변부탁드립니다 답변 미리감사합니다^^ 질문에대한 답변만부탁드립니다 내공냠냠 상관없는답변 광고등은 달지말아주세요
모텔 미성년자 무박 투숙 (내공 50,시험 끝나면 학생인 동성 친구들끼리 춘천 당일 여행을 다녀오려고 하는데 모텔이나 호텔은 미성년자가 못간다고 하더라구요 아침에 체크인해서 저녁에 지하철 타는 시간 맞춰서 체크아웃 할건데 보호자 동의만 가지고 갈 수 있을까요? 혹시라도 가능하면 춘천역 주변에 모텔이나 호텔 추천좀여 +++++++ 숙소안에 자전거는 못가지고 들가겠죠?
중고냉동창고 구입원합니다 1평반내지는 2.3.평 지역은경기도파주입니다,중고냉동냉장창고 .고장난것도취급합니다 1평부터~5평까지는 구입을원합니다? 고장난것도냉장.냉동창고도 가져갑니다 제가비닐하우수을 운영하고있는대 하우수에다 가져다 설치할라고합니다 전화주세요 010-5707-2021 단 가격이비싸면 고장난것도 꽁짜로주시면 가졌갑니다
주문진해수욕장 민박  추천좀 해주세여~,7월 27일부터 2박3일 아이들4 성인5 가려고 하는데 방이 2개는 됐으면 좋겠구여~ 바베큐 가능한 민박좀 소개시켜 주세여~ 날짜가 얼마 남지 않아서... 그날짜가 팬션도 다 마감이던데 민박은 있을까여????? 무작정 가서 잡아보자 하는 마음이긴 한데 불안해서여~~
주인 없는 것들 중,바다에 사는 갈매기는 주인이 없죠
학생인데 이번 여름방학에 풀빌라 가려는데요,현 고등학생인데 친구들이랑 이번 여름방학때 풀빌라를 가고 싶어서 계획중인데 비용이 얼만큼 들까요? (학생인지라 돈이 많이 없어서 최대한 적은 비용으로 갔으면 좋겠습니다.) 1인당 얼마정도 들고 계획 좀 세워주실 분 구해요 ㅠㅠ (부산에 사는데 아웃부산 하고 싶어요!) 한 4~5명 갈 예정이에요
꿈 해석 좀 해주세요,학교에서 수학여행을 갔는데 팀을 나눠서 미니 보트(?) 같은 걸 타고 놀다가 파도에 휩쓸려 바다에 빠졌어요 근데 저는 다행히 보트가 옆에 엎어져 있어서 그걸 붙들고 헤엄쳐서 나왔거든요 꿈해석들을 보니까 바다에 빠지는 꿈은 어딘가 안 좋은 일이 일어나게 된다고 하던데 제 꿈도 그런가요...? + 짐들이 바다에 둥둥 떠나니길래 기다렸더니 저에게 떠밀려 왔어요 그래서 그걸 다 줍고 탈의실 같은 곳에서 몸을 닦다 꿈이 끝났어요
중국 인민대학교 한국인 커뮤니티,중국 인민대학교 한국인 커뮤니티 없나요? 옛날 인민대 카페는 망한거같고 지금 활동 활발한 커뮤니티 있나요? 복단대랑 절강대는 있던데
법인 대표와 사업자 등록?,안녕하세요. 이번에 디딤돌 대출 신청해서 자산 심사까지 완료 했습니다. 갑자기 법인 대표 등록을 해야되는데. 대출 취소되나요?
해변 추천,제가 구리 남양주 쪽에 사는데 9월 중반에서 10월 말 사이쯤에 친구랑 바닷가에 놀러가려고해요. 사진 찍고 놀기좋은 해변 추천해주세요. 딱히 수영할건 아니라서 해수욕장은 괜찮고 친구랑만 놀러가는 거라서 교통편이 좋은 곳으로요. 코로나가 잠잠해지면 가는거에용.
부산 동주여고,내신 90퍼인데 갈 수 있나요? 저희 학교는 희망자는 저 포함 3명 뿐입니다..
동막계곡낚시,가족들과 8월초에 연처군 동막계곡으로 낚시를 다녀오려합니다. 통발도 설치하고 낚시도 히려하는데 계곡 상류와 하류중 어디가 고기가 많을까요?
과천 동물원,8개월된 아이 데리고가려는데 아침일찍가야될까요?아님 오후 3-4시쯤가도 충분히 보고나올수 있을까요? 그리고 주차는 지하철앞에 하는건지 아님 동물원앞에 주차할곳이 있는지 알려주세요..
아이바오와 러바오 차이가 뭔가요?,아이바오와 러바오 차이가 뭔가요?
서울식물원 22일부터 개장했던데 물놀,서울식물원 22일부터 개장했던데 물놀이터도 하나요?
손바닥 갈라짐,한 3일전부터 손바닥이 갈라지네요 아프진않은데 신경쓰여서요... 이유가뭘까요 어떻게치료할가요?
학교종이 땡땡땡 소금 악보,학교종 소금 악보 좀 알려주세요
독일 리백 교회,독일 리백 교회
안녕하세요?상하이에서 대규모 한류상품,안녕하세요?상하이에서 대규모 한류상품박람회가 열린다고 들었어요~ 어떤 내용으로 진행되는 건가요??
윗니가 다빠지는꿈,꿈에서 어디놀러가서 재밌게 히히호호 놀다가 갑자기 윗니가 다빠져서 봤더니 전부 다빠진거에요 그래서 어디 방같은곳으로 들어가 휴지를 깔고 다 모았습니다 금으로 떼운 이도 있었구요.. 금가루?같은것도 있었고.. 무슨 꿈일까요
옛날 게임,무슨 플래시 게임처럼 주니어네이버에인가 있었던건데 강아지캐릭터랑 다른 동물캐릭터?나와서 유치원인가 무슨 과일 주스 만들어 먹는 게임이랑 우루과이인가 파라과이 초콜릿에 막 별사탕 뿌리고... 이런 게임이었어요 게임 이름이 뭔가요?ㅜㅜㅜ
비스트 롯데맴버스 캐시비 청소년용 카드 어디서파나요?,비스트 롯데맴버스 캐시비 청소년용 카드 어디서 파나요?
알포인트 결말,알포인트 어떻게 끝나나요...?
파키스탄 북부 산악 지대에 거주하는,파키스탄 북부 산악 지대에 거주하는 칼라쉬족의 종교의 정확한 이름과 교리 종교의식 등에 대해서 자세히 알려주세요.
경기도 용인시 죽전동 아파 시세는,경기도 용인시 죽전동 아파 시세는
요즘아내의맛을제가자주시청하고있는데요이프로에출연하는함소원씨남편인진화씨는중국에서어느대학교를졸업했는지아시는분계신가요아시는분계시면답변부탁드려요,요즘제가아내의맛을자주시청하고있는데 요 이프로에출연하는함소원씨남편인진화씨는중국에서어느대학교를졸업했는지아시는분계신가요 아시는분계시면답변부탁드려요
더운 기후에 있는 식물의 기공세포 분포,여러가지 환경에 따른 식물의 기공세포의 분포도 좀 알려주세요 예를 들어서 추운 지역에 있는 식물은 기공세포가 따뜻한 곳에 있는 식물의 기공세포보다 많거나 적다던가 뭐 이런식으로요 ㅜ
중2 수학 함수 공식좀 알려주세요 (기본공식아님),예를 들어 한 직선 위에 있다 = 기울기가 같다 y축에 평행하다 = x=수 Y축에서 만난다 = y절편이 같다 ~를 지난다 = 대입 이런 자잘한 외울 공식들좀 다 적어주세요ㅠㅠㅠ 부탁드립니다 제발..ㅠㅠ 너무 헷갈려서 미치겠어요
컨버스 런스타하이크 사이즈,컨버스 런스타하이크 사이즈 평소에 245-250을 신는데 (보통250) 신어요 근데 이번에 영국 공홈에서 uk5.5 한국사이즈로245 주문했는데 작지 않겠죠?
경주월드.,1.순천에서 경주까지 얼마나 걸리나요? 네이버 지도에선2시간반쯤 걸리던데 2.모든 놀이기구엔 소지품 보관함이있나요? 드라켄이나 파에톤같은 놀이기구를탈때 신발은 어디에 두나요? 3.기구탈때도 마스크껴요? 소리질러도 되요? 4.경주월드우동 진짜 맛없어요?(간식추천좀) 5.요즘 사람많아요? 대기시간 보통 몇분?
안녕하세요 청소년들끼리 숙소에관하여 물어볼게있습니다,제가 경상남도를 살고 제 친구몇명이 경기도에삽니다 이번에 경기도에사는 친구들이 저희동네에 오기로했는데 숙박을 해야겠더라구요.그런데 저희가 여자남자가 모두있습니다.그래서 숙소를 잡을라고 노력해서 펜션은 시골이라서 교통 문제가있고 모텔 호텔은 당연히안될것이고 그래서 지금 많이싸우고있습니다 법정대리인이 싸인또는 그런것만하고 저희끼리만 놀수있는 그런 숙박시설은 없을까요? 부탁드립니다
트위치 구독 취소 이후 다시 만료된,트위치 구독 취소 이후 다시 만료된 정기구독에서 재구독하면 구독 뱃지 남나요? (ex. 7월 1일 구독후 8월 1일 만료 1주일뒤 다시 만료된 정기구독에서 재구독시 2개월뱃지로 구독 가능한지) 확실히 해보신분이나 확실히 아시는분만 답 좀 주세요;;
이거 답지좀요..ㅜ 내일오전 8시까지,이거 답지좀요..ㅜ 내일오전 8시까지 매겨서 가져가야하는데 답지 잃어버렸ㅅ어요 밀린거라서 오늘은 진짜ㅜ해가야하는데 빨리부탁드릴께요
이 잡지 무슨 분류인가요,나라 홍보하는것 같고 예를 들어 표지에 뉴질랜드 써있고 안에는 글씨 거의 없고 뉴질랜드 환경 관광지 음식점 대표동물 이런 사진밖에 없는데요 가이드북같이 생긴거 완전 그 나라 소개하는 책 같이 생겼는데 그걸 뭐라고 하나요 사진이 고퀄이라 선물용으로 주는것 같기도 하고
아이폰 아르케아(아케아)질문,현재 아이폰 11을 사용중인데 아르케아를 플레이 할시 음악이 안들립니다. 설정 가봐서 소리 키워봤는데도 조금도 들리지 않는데 어떡해 해야하나요?
광주 관광 인프라에 대해 질문이 있습니다.,일본 큐슈 프리패스권처럼 광주도 광주내에 기차나 버스를 무료로 이용할수 있게 하는 그런 제도가 있나요? 아니면 없나요??
수능130일,수능 130일 남았는데 6모때 국영수지원물원 45445 나오고 7모때 42566 나왔는데 수능까지 얼마나 올릴수 있을까요..? 재수는 안합니다 목표등급은 2-3 입니다
스터디카페,혹시 &#39;시작스터디카페 인천논현점&#39; 6시간 끊고 중간에 나갔다 다시 들어갔다 할수있나요?? 아님 2시간 끊고 나갔다가 다시 와서 4시간 끊고 나머지 하고 이런식으로 하나요..? 그리고 인천논현역에 있는 스터디카페 추천 좀 해주세요!
훈련참여지원수당은(1일18000원),훈련참여지원수당은(1일18000원) 국가로부터 지급받는거고 실업자훈련장려금은 (1일5800원) 배우는 학원측으로부터 지급받는건가요?
버쉬카 독일 직구,배대지 이용해서 버싀카 독일 직구하려고 하는데 주소 입력 창에 뭐 입력해야하는지 모르겟어요ㅠㅠㅠ 어떻게 하면 되나용
여자 BJ 질문,아프리카인지 뭔지는 모르겠는데 여자 두 명이서 진행하는 방송이 뭐가 있나요? 야한 방송은 아닌 것 같고 뭐 먹고 노래틀고 소통?하는 방송같던데
네스트호텔에 주말 수영장 시간알수있을까요/.?,네스트호텔에 주말 수영장 시간알수있을까요/.? 그리고 계속 왔다갔다 할수있나요? 외부에요 
도봉곤 김봉곤,슈퍼맨이 돌아왔다에서 전에 훈장님 나왔었잖아요 오늘 보이스트롯을 보니까 김봉곤 훈장이더라고요. 근데 인터넷에는 도봉곤훈장이라고 나오네요;; 둘이 다른 사람인가요?
아산 테크노밸리이지더원8단지에서 재벌짬뽕&amp;온양온천시장 가는 범,아산 테크노밸리이지더원8단지에서 온양온천시장과 재벌짬뽕 가는 법 각각 알려주세요 환승이 많은 걸 않고요 시간이 너무 오래 걸리지는 않았으면 합니다
봉태규의 실제키는?,봉태규의 실제 키는 얼마죠?방송에서 작은 키가 콤플렉스라고 말했지만 아 그리고 그와 교제중인 이은경이라는모델에 대해 알고 싶습니다. 사진을 첨부해서 작성해주시면 대단히 감사하겠습니다.^ ^
질문 드립니다. 세부에 놀러가는데 세,질문 드립니다. 세부에 놀러가는데 세부 비(be) 리조트 와 코스타벨라 트로피컬 리조트 둘중 어느곳이 좋은가요?? 깨끗한곳으로 가고싶은데.. 패키지 여행이긴한데 숙소를 선택해야하는 상황이라 고민되서 올립니다 빠른 답변 부탁드려요 감사합니다
사가미0.01 vs 이브 리얼0.03,제목 그대로 두개중에 얇은건 뭐고 뭐가 더 좋나요?
롤프레스티지,프레스티지는 얼마를 사야 스킨살수있고 프레스티지못사면 다음년도에가능한가요?
을왕리해수욕장 바베큐장,펜션이 아니라 바베큐장만 대여 가능한곳이 있나요? 숙박 아니라 당일치기 입니다
중고등학생 1박2일 숙소,시험이 끝나면 여자 중고등학생 2-3명이서 1박2일로 놀러가려고 합니다. 친구 생일 여행이구요 김포 근처면 좋겠습니다. (마스크 당연히 착용 할겁니다!) 사람들이 많이 있지 않는 곳에 있는 펜션같은 곳 추천해 주세요. 주변에 음식점이나 놀러갈 공원 강 등 있으면 더 좋구요! 이번 생일을 마지막으로 다른 지역으로 가는 친구라 좋은 추억 만들고 싶습니다.
경남은행 기프트카드 문의,경남은행 기프트카드으로 고속도로 게이트비 낼수있나요?
열대저기압,열대저기압 대응 에서 왜 습지(갯벌이나 늪지) 를 보존해야 하나요??
범어세인트웨스틴호텔위치,범어세인트웨스틴호텔위치
전국일주 계획짜기.,어떤식으로 처음 계획을 세워야 할까요? 출처:https://kin.naver.com/qna/detail.nhn?d1id=9&amp;dirId=90101&amp;docId=74072496&amp;qb=7KCE6rWt7J287KO8&amp;enc=utf8&amp;section=kin&amp;rank=1&amp;search_sort=0&amp;spq=0
동탄 미성년자 숙박가능 모텔,동탄에 미성년자 숙박가능한 모텔있나요 ?!?! 호텔도 상관없어요 그리고 커플피씨 있었으면 좋겠어요 여자 두명이고 하루 숙박할 예정이에욥 부모님 전화해야 출입가능한 곳도 괜찮아욥
물색이 정말 이뻤어요,바다꿈을 꿨는데 물색이 너무 이쁜 겁니다. 해몽 좀 부탁 드려요. 출처https://kin.naver.com/qna/detail.nhn?d1id=3&amp;dirId=31505&amp;docId=124431219&amp;qb=67CU64ukIOq/iA==&amp;enc=utf8&amp;section=kin&amp;rank=1&amp;search_sort=0&amp;spq=0
프랑스의 특징에 대해 알려주세요,프랑스의 특징에 대해 알려주세요 출처 : https://kin.naver.com/qna/detail.nhn?d1id=6&amp;dirId=61302&amp;docId=104062968&amp;qb=7KO8NeydvOygnCDsi5ztlok=&amp;enc=utf8&amp;section=kin&amp;rank=5&amp;search_sort=1&amp;spq=0
지클래스 리조트더블유프라임 인수? 준회원 정회원으로?,안녕하세요 지클래스 맴버쉽? 은 제가 예전에 회사다닐때 연금보험들때 준 상품이였는데 쓸일이 없어서 그냥 잊고 있었던상품인데 이번에 지클래스 리조트 인수진행과정에서 기존 준회원고객들을 무상으로 정회원으로 변경처리 해 준다면서 연락이 왔는데요 6개월 99000원내고 이후에 100만원을 준다는 내용이 뭔가..사기느낌이 들어서 꺼려져요 더블유프라임이라는 회사 믿을만한 회사 인가요?? 더블유프라임에서 저같이 연락 받은 분들도 계신지 궁금합니다.
독일쥬스. 살빠지나요?,친구가 지인분이 한달먹고 살ㅈ엄청 빠졌다고 저보고 먹어보라는데 정말 다이어트에 도움이되나요?
방탄 진른 팩픽추천 좀,포스타입/트위터 상관없고 진른만 3개이상 이면 좋겠어요
혹시 자시안 전용템인 녹슨검이 영국에 숲에 가면 있다던데 진쫘입니까?,혹시 자시안 전용템인 녹슨검이 영국에 숲에 가면 있다던데 진쫘입니까?
방탄 베라 광주,베라 예약 안해도 지금 받을 수 있는건 아는데 광주 들어왔나요?
바퀴 달린 집이라는 예능프로 왜 하는건가요?,캠핑 프로그램 하는건 이해하는데 지금까지 거기 나온거 전부 불법이라면서요... 개장도 안한 해수욕장 들어가거나 취사 안되는데서 취사 하고. 물론 허가 받고 했다곤 하는데... 그런 프로그램은 숨은 명소 소개해주고 시청자들도 가보라고 하는거 아닌가요? 남들은 가지도 못하는 곳에 자기들만 허가 받아서 노는거 보여주면 뭐 어쩌라는거예요?
몽골인 횡강은 몇명?,몽골인 횡강은 몇명?
안산 강서고등학교,안녕하세요 현재 중3인 여학생입니다 이제 원서 쓰는날도 얼마 안 남아서 고등학교에 대해 질문하려고 합니다 1.공부를 잘하는 편이 아닌데 안산 강서고 가도 괜찮을까요 2.안산 강서고 많이 빡센가요 3.언니가 너 공부도 못하는데 강서고 시험도 어렵고 공부 잘하는사람 많아서 절대 안돼고 차라리 단원고 가라고 하는데 어떻게 설득 해야할까요
국내 웨딩스냅 촬영지 및 업체 소개,안녕하세요 웨딩스냅 촬영 문의 드리려고 합니다. 스튜디오에서 세미로 웨딩촬영 예정중인데요 서브로 야외 스냅 촬영하고싶어서요 제주스냅처럼 국내 여행지 한곳을 정해서 하고싶은데 경주라던가 순천이라던가 스냅 촬영지로 유명한 지역과 그 지역에 맞는 업체 추천 부탁드립니다! 적당한 가격대의 짧은 촬영 원합니다! 정말 도움이 될만한 댓글 남겨주시는분께 내공 드리겠습니다!
아시바  영문명,아시바 영문명
대전 부자재 파는곳,대전에 비즈팔찌 만드는 재료 많은 곳 알려주세요! 여러군데 알려주시면 좋아요 아래사진 같은 거 만드는 재료 파는 곳이요
국내 도보여행 질문(내공100),제가 사는곳은 서울이고 부산까지 혼자 걸어 여행을 가보려합니다. (10월달에) 무엇을보고 어디로 걸어야 부산까지 가는지 10월에 가는거라 추울지 더울지 옷은 어떻게하고 숙.식은 어떻게 해야되는지 궁금합니다ㅎㅎ
안면도 해루질 장비문의,안면도에 7월27일-29일까지 펜션을 이미 예약했는데 해루질은 안되는거같더라구요 혹시 해루질 장비 대여하고 처음인데 설명도 들을 수 있는곳 있나요?
인도의 체제 및 문화에 대해서 간략하게 설명 좀 부탁드립니다,인도의 체제 및 문화에 대해서 간략하게 설명 좀 부탁드립니다
롯데월드 아쿠아리옴 문의점요!,잠실 아쿠아리움 예약을 할려고 합니다. 근데 온라인 예매를 하면 정상가(31000) 인데 23000원 으로 예매가 가능하더라구요. 근데 제가 맴버쉽 카드가 있어서 30% 할인 가능한데 정상가(31000) 에서 30% 인지? 아니면 할인 금액 23000원 에서 30%인지 궁금합니다. 롯데월드 아쿠아리움 전화가 안돼서 여기서 여쭙네요 ㅠㅜ..
25세 (1996년생) 군대 입영전 해외여행 (내공 200),현재 외국에서 지내고 있고 여권이 2020년 12월 31일 만기됩니다. (1996년생) 불가피하게도 한국을 가야하는데 졸업하니깐 외국에서 한국으로 가라고 하더군요. 비자를 현재 받을 수 없는 상태예요. 한국을 가면 바로 입영영장이 날라올것 같아요. 사실 국외여행허가 6개월을 받았는데 아직 여권은 연장하지 않은상태에 있어요. 만약에 올해 한국을 가게되면 신검을 받고 입영날짜가 정해지겠죠? Q 1. 입영전에 해외여행을 갈 수있나요? 미국에서 cpa 자격증을 따려고 지금 공부하는중이거든요. 가능하면 군대가기전에 시험을 보고 싶어...
인천에 파라코드 끈 판매하는곳 좀 알려주세요,인천에 파라코드 끈 판매하는곳 좀 알려주세요
인천---스웨덴---폴란드 입국과정,개인사업으로 인해 인천---스웨덴---폴란드---인천 방문일정을 계획했습니다. 그런데 문제구간이 스웨덴에서 폴란드입국 과정입니다. 현재 가능한가요? 참고로 전 한국에사는 한국인이고 스웨덴에 단 2주만 체류후 폴란드로 입국할겁니다.
여름방학때 친구들이랑 계곡 놀러가려고,여름방학때 친구들이랑 계곡 놀러가려고 하는데 삼겹살 구워먹기로 해서요 서울근처 계곡이나 서울에 있는 계곡 중에 취식 가능한 계곡 있나요? 있으면 알려주세요!!!!
교대 파리크라상은 분위기는어떻습니까?,교대 파리크라상은 분위기는어떻습니까?
비가 내리는 바다 비 내리는 날의 바다를 영어로 하면 뭔가요?,비개 내리는 바다~ 그리고 비 내리는날의 바다를 영어로 하면 어떻게 될까요? 최대한 많은 여러가지식으로 알려주세요^^; 출처 : https://kin.naver.com/qna/detail.nhn?d1id=11&amp;dirId=110812&amp;docId=54593523&amp;qb=67mEIOuCtOumrOuKlOuCoA==&amp;enc=utf8&amp;section=kin&amp;rank=6&amp;search_sort=0&amp;spq=0
스위스에서 방역제품 TT자금에 대한 유럽 PPE규정 및 KYC규정에 관하여,안녕하세요 지금 유럽에 대규모 수출을 진행하려고 하는데 먼저 TT방식으로 결제를 협의하여 스위스은행에서 한국에 있는 은행으로 자금을 보내려고 합니다. 송금되어서 들어오는 금액은 100억대 이상이구요 그런데 스위스에서 자금을 한국으로 이체를 진행하고 있으나 유럽 PPE규정 및 KYC 규정으로 인하여 은행에서 송금이체 작업 중 기업에 대한 평가를 진행하는데 일주일 이상 시간이 소요되고 있습니다. 금융 전문가들에게 문의 드립니다. 업체에서 유럽 중 자금을 빨리 한국으로 이체 시킬 수 있는 곳이 스위스여서 스위...
제주도 세미나(웨비나) 업체,안녕하세요 저희가 이번에 제주도에서 세미나를 진행할 예정인데 코로나로 인하여 웨비나로 진행할려고 합니다. 혹시 제주도에 웨비나 관련 업체가 있나요?
미국 중국 인도 일본에 강아지 기르는 사람에게 물건홍보하고싶는데 어느 사이트가 가장 좋나요?,미국은 아마존에 등록하면 될거같은데 인도나 중국 일본에 가장 노출이 많이 될법한 사이트가 뭘까요?
제주도전연령렌트제주도에 전연령렌...,제주도전연령렌트 제주도에 전연령렌트카 완전자차 가능한곳 알수있을까요?98년생일지났는데 가능한지..
제가 지금 글캠하고 성신여대를 붙은,제가 지금 글캠하고 성신여대를 붙은 상태입니다. 성신여대는 국어국문이고 글캠은 동유럽대학인데....어디를 선택하는 게 나을까요? 일단 외대 소수어과라 나중에 취업할때 이점이 될거같기도 한데 글캠이라는 것 때문에 좀 걸립니다. 성신은 그래도 서울에 있으니....참고로 저는 광고회사 취업을 요망하고 있습니다 좋은 조언을 B50좀 부탁드립니다
이번 일요일 7 월 26일 아침 대전,이번 일요일 7 월 26일 아침 안산에서 대전갈려구요 안산 고속버스터미날 전화안받아요 어떻게해야하나요 예야하는건 어떻게하는건가요?
해피트리 목대,위에 목대가 눌리면 푹 들어가면서 부서지는 소리가 나요. 목대을 잘라 줘도 되는지요. 방법을 가르쳐 주세용 ~^^
3월11일부터13일까지 4명여행가는데,3월11일부터13일까지 4명여행가는데 펜션추천좀해주세요ㅜㅜ 방2개엿으면 좋겟구요 해운대주변이면 좋겟습니다ㅜㅜ
인터파크에서,인터파크에서교환상품회수준비중이면수거하러오는건가요?!ㅎㅎㅎ
의사고시 관련 호텔 판촉 질문,호텔 판촉팀에서 근무를 하고 있는 판촉 지배인입니다. 매해 연초에 진행이 되는 의사고시 관련 궁금한 부분이 있어요. - 담당자 컨텍포인트 (각 학교 별? 혹은 동아리?) - 의사고시 싸이클 (준비단계부터 시험당일까지) 답변 주시면 큰 도움이 되겠습니다. 감사합니다. 
강서구 놀거리,안녕하세요 중학생입니다 혹시 친구들이랑 실외에서 놀 수 있는 곳 강서구에 있을까요? 부탁드립니다. 실외!! 내공 100
응으응악[200],경기도 시흥에서 그다지 멀지 않은 호텔리조트펜션 중에서 번화가 쪽에 위치되어있는 곳 PC방 포함
국내 1박2일 골프예약 관련,원하는 지역 : 충청도 인원 : 8명(2팀) 날짜 : 2020년 9월 12~13일(1박2일) 내용 : 12일 오후티(1시이후) / 13일 오전티(7시이후) 가능하다면 각기 다른구장이나 또는 같은곳에서 해야 한다면 2틀을 각기 다른 코스로 예약 숙박은 호텔/리조트/펜션 상관없음(8명이 남자) 펜션을 더 추천함 ㅎ 날짜도 결정된 상태이니 쪽지나 메일로 부탁드립니다.
부산사상역근처 모텔 달방 구?니다.급,부산사상역근처 모텔 달방 구?니다.급! 사상역 근처에 30만원대 달방 구하려고 하는데 괜찮은곳으로 추천바랍니당...
스위스 덴마크 둘중에 최고의 여행지좀,스위스 덴마크 둘중에 최고의 여행지좀
갯벌 여행,휴가때 가족끼리 조개도 잡구 고기도 구워먹구 올려구합니다 당일치기로 지역은 경남양산인데 가까운곳 추천부탁드립니다
바이오더마 클렌징오일 리뉴얼 됐나요,바이오더마 클렌징오일 리뉴얼 됐나요
김영사 체험학습시리즈 뭐가 더 나은가,김영사 체험학습시리즈 뭐가 더 나은가요
스마트퓨어 샴푸 타입 지성용이랑 비듬,스마트퓨어 샴푸 타입 지성용이랑 비듬용 다른건가요
오니츠카 멕시코66  이나  언코리 퍼스96 같은 종류 신발,오니츠카타이거 멕시코66이나 언코라 신발같이 낮고 밑창이 얇은 신발 종류를 뭐라고하나요?? ex) 슬립온 스니커즈  로퍼 같은 종류처럼요
캄보디아 표준경선,알려주셍ㅅ
캄보디아 표준경선,알려주세요
캄보디아 표준경선,알려주세요
대구에서 리조트,대구에서 리조트
부천 밖이뚤린(지붕x) 찜질방 어디있나요? (+화곡동신월동),예전에 찜질방인데 겨울에 바깥과 연결되있어서 좋았던기억이있는데요 온천으로 목욕하면서 하늘이 보이고 눈이 좀 내려서 좋았습니다. 이런 찜질방이 부천이나 화곡동신월동쪽에 있나요?? 아니면 강서구나 양천구에도 있는지 알려주세요
햄스터 리빙박스 뚜껑 (내공 100,햄스터 개조 리빙박스 뚜껑만 따로 판매 하는곳은 없나요? 있으시면 링크 꼬옥 부탁드립니다
일산 원마운트 워터파크 질문이요,워터파크를 아빠 혼자 딸래미랑 아들래미 데리고 가게되면 애들 씻길 때 딸래미도 같이 남자 샤워실쪽으로 들어갈수있나요 고양스타필드 목욕탕은 딸래미가 6살이라 남탕에 같이 못들어가게 하더라구요.
보성율포해수욕장,보성율포해수욕장 8월달쯤 갈수 있을까요? 그리고 숙소 예약을 하려고 하는데 될까요 어떤분 봤는데 7월19일에 올리셨는데 폐쇄 된다는 이야기있고요 그리고 그 다음널 7월20일날 보성율포해수욕장 다녀온 분이 있더라고요?! 그래서 질문 들어갑니다!! 1) 보성율포해수욕장 8월달 갈수있을까요? 2) 폐쇄 된다는건 무슨뜻일까요? 3) 펜션예약을 하려는데 코로나때문에 가능할까요? 4) 해수욕장 물놀이는 가능할까요? 5) 캠핑장에 텐트 칠수 있을까요? 6) 사람은 많을까요? 저번에 많이 가보았는데 코로나때문에 확실하지가 않아서 물어봅니...
제주도 오토바이 렌트,제주도에서 2박3일동안 렌트좀 허려고허는데 싼곳 추천좀 햐주세요
구찌실비 어제라벨보내라시길래 이거맞나,구찌실비 어제라벨보내라시길래 이거맞나요??
학동터미널&gt;보성녹차밭,광주 유스퀘어&gt;보성 녹차밭가는 우등버스 표 예매한것을 학동시외버스정류소에서 그냥 탑승해도 되나요? 학동&gt;보성녹차밭은 모바일예매가 안되고 현장예매만 돼서ㅠ 또 학동정류소에도 모바일로 예매한 것을 티켓으로 출력할 수 있나요?
부모님께 허락은 받았고 고2 여자 4,부모님께 허락은 받았고 고2 여자 4명이서만 갈 거 예요 남자 없이 가평에 동의서 있으면 가능한 곳으로 추천 부탁드려요..
여기 장소를 알수있을까요?,우연찮게 발견했는데 여기가 어딘지 알수있을까요? 사진 한장으로 찾기가 힘드네요 ㅜㅜ
나의 청춘은 너의 것 질문,대만 영화 나의 청춘은 너의 것 질문이요! 이 영화에서 나온 문화 좀 알려주세요. 사소한 거라도 괜찮아요! (이왕이면 우리나라랑 다른 문화 차이점 등으로 부탁합니다!)
하나로ok리조트,하나로ok리조트
오스트리아 특징,오스트리아의 음악 특징 알려주세요ㅠㅠㅜ
원예용(행잉식물용) 목부작 유목 찾고 있어요!,박쥐한 목부작할만한 유목 찾고 있는데 작은것만 보이고 ~ 사이즈 좀 있는거 사고 싶은데 찾다 찾다 넘 모르겠어서 혹시 식물 고수님들한테 정보 얻을수 있을까 싶어서 .. @..@;; 질문해보아요! /가로 25~30cm 정도 세로 40~50cm 모양상관없이요~ 내공 100걸어요.
파티룸 추천해주세요!,친구 생일이라 학생끼리 가기 적당한 파티룸 구해봐요 너무 비싸지 않고 적당한곳 추천 부탁드려요 은행동에서 지하철이나 버스로 20~최대40 분 거리 안이면 좋겠어요! 빨리 부탁드려요!
일산지 해수욕장,지금 일산지에서 튜브 대여 해주나요? 샤워부스 이용 가능한가능한가요?
화학과 관련된 여행지(체험도 할 수 있는 곳) 외국에 무엇이 있을까요???,화학관련(제약 화장품신소재 등) 여행지체험장소 등 여행계획을 써야해서 그런데 관련된 곳이 어디가 있을까요??? 장소는 전 세계어디든 상관없어요! 빨리 부탁드립니다 ㅠㅠ 내공 드려용
폴란드 접시 가격,다음주에 개인사정으로 폴란드에가는데 폴란드접시를 좀 사려고합니다. 얼마정도하는지 알 수 있을까요? 평균가격대요. 접시 찻잔 정도요
수원역 근처 아침 대실되는 모텔,있을까요? 2~4시간 정도 쓸것같은데
